SimulationNumber,Seed0
220,1244473018
221,2984078578
222,692440149
223,3781580571
224,3993020993
225,2681580201
226,3470850604
227,1269737021
228,2720448440
229,453094388
230,3742894725
231,1960801051
232,3451745307
233,938194539
234,801312299
235,1788896595
236,3833511709
237,3793659837
238,2316457290
239,1393051263
240,3467929081
241,524363766
242,3848682843
243,1530287576
244,1365814502
245,3894798525
246,472669408
247,1168799104
248,978974072
249,2781807898
250,1834414013
251,2235000
252,3513346675
253,1514271692
254,3696809704
255,1309025538
256,29859174
257,707191493
258,2193642951
259,2293896602
260,1792766600
261,2082328893
262,953945764
263,2973990112
264,514817842
265,1157117161
266,1450046123
267,1048511127
268,4049766350
269,722804538
270,1388146037
271,939585183
272,2228188767
273,2397029847
274,3019443432
275,1734463155
276,1561777264
277,278710077
278,4173772272
279,1090558393
280,4133679667
281,1060324619
282,1081396733
283,2990604070
284,2135666049
285,3059178882
286,1292262512
287,636028516
288,1223380592
289,4285262775
290,158428240
291,1145815738
292,2618058864
293,4194529281
294,2158989953
295,1765390555
296,221099573
297,141951830
298,1196777444
299,1482069727
300,3900972256
301,2724518272
302,1028910482
303,2923607677
304,622318721
305,2280346676
306,2102183595
307,1923214041
308,4233336479
309,2374657733
310,1039619487
311,2545613046
312,2886800195
313,347262390
314,3271131338
315,1587653815
316,1020645498
317,1040069008
318,3127665406
319,3449458981
320,1579616535
321,2019925828
322,2715732851
323,4223770209
324,2720989381
325,1712937941
326,2301134730
327,3506548222
328,387791599
329,3428866191
330,3587596896
331,647326920
332,1377739899
333,2182697146
334,801090885
335,2988493263
336,175127900
337,3686622978
338,2537865875
339,1399982843
340,2910116794
341,945928099
342,71244178
343,3054363993
344,2199422914
345,3476780542
346,972791954
347,1497509011
348,2770996063
349,413075142
350,748898099
351,4039516648
352,2967554976
353,1707558823
354,1661015679
355,2223725094
356,4023224657
357,3597937511
358,590647936
359,2902066954
360,1464868827
361,3157729208
362,487365080
363,897955761
364,3971528854
365,2325501342
366,3768143837
367,2988371241
368,1107850850
369,981614854
370,2834609915
371,751425679
372,3509942617
373,4218380911
374,2384569336
375,2218934259
376,2274831931
377,1120252784
378,1038747649
379,4278877056
380,399873327
381,4146444541
382,3853512331
383,2397852100
384,3867266084
385,3790894239
386,2719150074
387,810490870
388,1456121864
389,1197743336
390,1499843682
391,3008013970
392,3117955887
393,3636381903
394,3853059202
395,3677884819
396,3810007191
397,1737349173
398,3349539959
399,3812943520
400,2757504919
401,3654709875
402,361378378
403,4018521712
404,694190023
405,3373012387
406,3859260837
407,2873282663
408,2604592979
409,2494030077
410,39501026
411,1598942319
412,435816957
413,4037842392
414,2849718370
415,4181854360
416,21739356
417,1219431313
418,690665343
419,1311527789
420,2356793681
421,2085695169
422,2971667253
423,1925967010
424,2800152271
425,4271162300
426,963229352
427,755593187
428,3058786464
429,77633091
430,1018977056
431,2121257357
432,1397581076
433,768037679
434,3206156179
435,1573971447
436,2790152063
437,3196188039
438,3647386758
439,3096413378
440,2824425872
441,1323111039
442,2440866848
443,2330192559
444,402330059
445,2185339834
446,1579327346
447,2733027797
448,1139035510
449,1075725333
450,1047927533
451,2533475997
452,4179048485
453,4204312805
454,1688341868
455,2090541618
456,3831310773
457,3891664647
458,2710719770
459,1865709594
460,3413688545
461,1503575316
462,2158809885
463,2770697824
464,2477783323
465,2873006958
466,2115347391
467,3711571424
468,838562244
469,988638203
470,3102908220
471,2144019247
472,1205908114
473,2456739331
474,104436258
475,3300914367
476,2772282416
477,187276799
478,760684560
479,4271561899
480,4039238875
481,2018396317
482,4097092060
483,1200702509
484,3929312628
485,3794577925
486,1589819490
487,3211427707
488,66385640
489,4093412388
490,3987097879
491,1420561756
492,1839036912
493,2374107437
494,4151750836
495,2457977438
496,4138716258
497,4210492091
498,3663647712
499,323609715
500,1264648382
501,1312958716
502,1653982164
503,819956639
504,3655604182
505,1153090720
506,1361169663
507,2084261186
508,727965823
509,1600677905
510,2391443224
511,1695186921
512,4020754142
513,3625867829
514,2989425209
515,3994391874
516,2448394087
517,302434989
518,417369879
519,897299057
520,2641435935
521,2882539438
522,4252248917
523,1540376214
524,601656257
525,1091624574
526,2226208922
527,1268263401
528,3768288641
529,1385344985
530,3181576976
531,3645008999
532,2993659808
533,586784136
534,3017146154
535,3044749557
536,1544002735
537,2374343718
538,1260967388
539,1273501353
540,3476179702
541,1802945049
542,3479410530
543,1100400433
544,3724047256
545,2626431383
546,3922338316
547,350444347
548,2196198905
549,22268806
550,2153996088
551,2696785955
552,3428651692
553,834400275
554,2791573824
555,304688903
556,3014924799
557,1704173549
558,3417903503
559,218049165
560,3822543819
561,3807991666
562,1451678166
563,118613134
564,1613116507
565,2486205793
566,403649345
567,1883232031
568,2483694294
569,2886330302
570,154370901
571,1409404978
572,1999728280
573,665898681
574,2330640958
575,4216974525
576,1230685308
577,3603191957
578,2537609529
579,3695409721
580,130997589
581,1074821424
582,160409267
583,166793897
584,3533042501
585,1302515470
586,1547007029
587,2306751466
588,545720763
589,1402956388
590,2243017696
591,3555670279
592,3307097140
593,1166267963
594,926944235
595,4145725035
596,2675294212
597,1963938918
598,366564547
599,3616461573
600,221971308
601,834855903
602,2282150771
603,1766751581
604,2322010158
605,3004382050
606,2737740598
607,594221991
608,3118538547
609,570137231
610,4191252748
611,4164129137
612,2217493115
613,3069162601
614,1387087517
615,176383634
616,3415298704
617,1712922743
618,1163215678
619,1861957394
620,1885367899
621,3195638841
622,336967606
623,1077437785
624,108880612
625,791707097
626,4134543476
627,347346749
628,3590507286
629,1839596670
630,2989186440
631,2957084555
632,1756439540
633,249939584
634,744293433
635,3930813049
636,671891968
637,1899888366
638,1074785057
639,1029878879
640,2358910589
641,403182709
642,3069166127
643,785403480
644,2835526119
645,4014136556
646,1202306932
647,2741351296
648,4101115151
649,2219193532
650,3169243110
651,2822271679
652,2380932542
653,1871200836
654,2627320597
655,3135495004
656,1802168566
657,204939202
658,1063996491
659,2431111321
660,1528891023
661,681381298
662,3254924260
663,516103253
664,61819576
665,1468362012
666,498528205
667,394274011
668,197579844
669,404401198
670,174928880
671,1337509981
672,3674175213
673,4206965693
674,3022187507
675,753037764
676,2036561099
677,73706383
678,420194521
679,3278625241
680,2111474095
681,3465664852
682,2033545766
683,1487365731
684,743896352
685,1995758845
686,1863378653
687,2790756708
688,1711564822
689,206411513
690,2645056009
691,4076549877
692,2727706436
693,3808263267
694,194579233
695,1120529587
696,1608948958
697,65732489
698,2688047865
699,4009078418
700,2160953785
701,2151949919
702,3678595840
703,2316608503
704,2829067588
705,2937602028
706,699798019
707,2645060623
708,303090455
709,4053983567
710,2759169782
711,4055529729
712,113865200
713,3724591067
714,2515886975
715,2733332639
716,4038258138
717,3440051027
718,2471642775
719,2908415883
720,1667177137
721,2462592674
722,2762901883
723,551904800
724,1968181152
725,3484095420
726,2343406258
727,3524619690
728,4043560548
729,2688390411
730,1658298178
731,3523706432
732,4128282016
733,2798105767
734,3888451401
735,887702570
736,840916523
737,1176654108
738,297904524
739,921653259
740,432838238
741,1620315437
742,78262145
743,167345404
744,405629426
745,2655380209
746,2933491746
747,1445489366
748,305752912
749,2816307289
750,1369989895
751,1655265884
752,3628711833
753,2927508425
754,99952217
755,1462971389
756,3498115489
757,1119674482
758,1210557032
759,2130464646
760,507514051
761,2975941433
762,2992463348
763,1496094321
764,2701288940
765,4022873162
766,3768713628
767,168303991
768,3157106083
769,1795064536
770,3450924308
771,4155726844
772,1211329272
773,2353521315
774,762097033
775,1818793828
776,3223865800
777,2441776023
778,3465328831
779,2473577186
780,4254187184
781,3142403170
782,1772179439
783,548423203
784,1597805521
785,1073812464
786,3334668262
787,2493417567
788,1463740055
789,3724237462
790,3997572285
791,2413199071
792,3686854692
793,1024765707
794,1842515312
795,2919911094
796,3224966668
797,3177883926
798,3240736984
799,1023216482
800,442913640
801,1622333213
802,3876435216
803,2294919024
804,2170042429
805,2132714067
806,3549607791
807,1673396952
808,1374602581
809,1278333324
810,3846243002
811,429431826
812,1671608496
813,229717603
814,46547339
815,4116904380
816,3888585960
817,3638452114
818,392073291
819,1524306184
820,1371441606
821,4109428507
822,4080485069
823,2906704606
824,4082826623
825,2072411699
826,2462896978
827,2117529081
828,2713720174
829,357703823
830,1926058868
831,393866308
832,1259330658
833,2587464075
834,1411603480
835,2378136499
836,2888444794
837,913659348
838,3231423971
839,4063874612
840,3399806102
841,3355640975
842,3391384120
843,487326758
844,391727212
845,3998310068
846,2123519017
847,4184364217
848,247212966
849,4277492109
850,2360208606
851,239964793
852,1896359044
853,3165543586
854,3812660438
855,2344690396
856,1507168490
857,3031523146
858,502798993
859,4160328430
860,614144587
861,2955066376
862,3270663241
863,3594732473
864,2655226347
865,3723172752
866,434318588
867,3601247461
868,361235974
869,1830048941
870,3010639500
871,955958439
872,312514729
873,1703605640
874,3529862065
875,3830668058
876,3033287289
877,629662913
878,349390340
879,2204719132
880,364375204
881,1001706917
882,4237584722
883,2496687751
884,1607480815
885,3707151724
886,1591895872
887,3781117269
888,3490947571
889,1016555152
890,4068401662
891,3898514758
892,4234842328
893,2542142764
894,3235734659
895,1504175907
896,1616022597
897,3041615099
898,358632862
899,2068743954
900,3337820604
901,1623444331
902,2398327989
903,3028314278
904,1822019674
905,1068262089
906,3892762457
907,1418423826
908,477589542
909,1865956477
910,2115808706
911,1089556652
912,48763532
913,1740329713
914,2012882139
915,2454457981
916,241820729
917,3182458515
918,510319067
919,3295076807
920,504771388
921,3533857662
922,2788337000
923,3196364710
924,3204238336
925,2925042050
926,2505549772
927,1020082523
928,4132499645
929,1718944248
930,1610056894
931,2051769851
932,1227124080
933,356015512
934,3730604855
935,2269332384
936,960336805
937,1874048116
938,4137009285
939,3445033017
940,52203051
941,4200051372
942,4165597855
943,2388023468
944,185370428
945,1385927470
946,3827430548
947,186404943
948,2266458997
949,3971312852
950,4264751306
951,3947571963
952,316953828
953,1086584483
954,2378786018
955,2986768018
956,4163122707
957,323988920
958,2246688145
959,713889838
960,2703246568
961,931188016
962,2988217869
963,1264841870
964,1952239006
965,4277063168
966,2695341428
967,2993270325
968,2509610869
969,1650134274
970,3870444175
971,3165823446
972,195190712
973,3930987466
974,1206727691
975,4117595465
976,4081986271
977,248523535
978,3823653831
979,1694458213
980,1957030859
981,458513815
982,2663449243
983,1441649012
984,1191343111
985,728769657
986,807974235
987,2778192547
988,1991569497
989,1667600007
990,1517636281
991,985242939
992,2506783921
993,1142194715
994,333867739
995,1547670372
996,4184993832
997,1116476131
998,4235742911
999,1946654618
1000,2998581749
1001,138795966
1002,2302516368
1003,1201575112
1004,1329410976
1005,1766119412
1006,3495222995
1007,2588928460
1008,2940898011
1009,1163754223
1010,698434460
1011,572025740
1012,3912402477
1013,327278114
1014,3532770556
1015,4039553413
1016,4079359569
1017,1789451122
1018,3116941567
1019,2496074436
1020,2634598190
1021,3947833240
1022,1796340161
1023,355401737
1024,4006038327
1025,3765232413
1026,3719716081
1027,2369051898
1028,194212716
1029,707957764
1030,113245302
1031,1766327287
1032,1616897824
1033,3339776373
1034,3481300032
1035,2063173777
1036,4240318687
1037,4231771374
1038,646035632
1039,1618081546
1040,2551771988
1041,3219414297
1042,1635913790
1043,1687876824
1044,4165750613
1045,3561233210
1046,3616873242
1047,2444186288
1048,3600594380
1049,272781216
1050,2013021793
1051,158148712
1052,1781636194
1053,574890494
1054,1174274432
1055,58720660
1056,242130927
1057,323664694
1058,3713954309
1059,2970890715
1060,3491383248
1061,2294999748
1062,4293754718
1063,3220842116
1064,4280522597
1065,3922017026
1066,2385561012
1067,2513198102
1068,3302775780
1069,3118665268
1070,4057737892
1071,3251638985
1072,3649207753
1073,1622855762
1074,1062352016
1075,1035451476
1076,1935072333
1077,880662984
1078,554735469
1079,1079937024
1080,4097617970
1081,1179964076
1082,2603500236
1083,890035971
1084,982013373
1085,3771929024
1086,2884932464
1087,3251286503
1088,2654840607
1089,201418785
1090,1538297179
1091,1153939550
1092,487726151
1093,95282726
1094,2884384921
1095,2139603193
1096,2234704545
1097,2045309365
1098,3317082229
1099,3570713346
1100,2234085242
1101,1321893169
1102,3660091659
1103,3506350016
1104,2370421813
1105,4157415659
1106,2409210244
1107,379710429
1108,3765198557
1109,3400831738
1110,1732945720
1111,2533841296
1112,575591023
1113,2061781758
1114,123620654
1115,1806187414
1116,3243289806
1117,3370124516
1118,2664209236
1119,2746036109
1120,3023999553
1121,3457640522
1122,914674098
1123,3879004262
1124,585711013
1125,2651127487
1126,62468859
1127,4211055329
1128,1505762085
1129,2611717425
1130,2533677153
1131,2734366545
1132,1684675357
1133,2382914894
1134,1878940506
1135,390850994
1136,3883332030
1137,3119851489
1138,1495745843
1139,2351263992
1140,2207568037
1141,1936645600
1142,3365764055
1143,3910444366
1144,1703138299
1145,1279726109
1146,2671842038
1147,2248854633
1148,3703823922
1149,2996349008
1150,4078160004
1151,3420820252
1152,631675779
1153,1972879497
1154,3979663543
1155,3616755088
1156,2113623369
1157,3302476560
1158,1109151227
1159,284481363
1160,1971973079
1161,196972612
1162,4209207841
1163,2666340101
1164,2115778612
1165,1492129217
1166,1411977420
1167,898209917
1168,2720435946
1169,2489577514
1170,1031417583
1171,1467002826
1172,325830514
1173,2307528814
1174,553534200
1175,1976196758
1176,549952694
1177,2511551311
1178,652417118
1179,1719277514
1180,596258165
1181,2996459407
1182,2752536071
1183,773383043
1184,781168999
1185,2991451011
1186,1484629687
1187,1768071448
1188,3851676866
1189,3755165535
1190,2035649730
1191,2212922010
1192,2867138652
1193,4179477151
1194,740108209
1195,2585292860
1196,825875065
1197,961424434
1198,175529362
1199,3529563924
1200,725570564
1201,1482118609
1202,1196536411
1203,1493013161
1204,760254268
1205,136600085
1206,380974484
1207,2356714309
1208,518127104
1209,2295331460
1210,1979029736
1211,1528971787
1212,886196569
1213,3840633901
1214,1564527137
1215,552970160
1216,2162160717
1217,1417766617
1218,2965223212
1219,1381187482
1220,168844360
1221,396385049
1222,3433441528
1223,2066503726
1224,2696811640
1225,2954012885
1226,351152366
1227,2197550135
1228,3751991645
1229,674213994
1230,3955116862
1231,1620430895
1232,262327868
1233,11145552
1234,1189180441
1235,3729324835
1236,3462608128
1237,362997767
1238,3213750896
1239,2565289826
1240,792511740
1241,4235941555
1242,899148494
1243,2304639278
1244,1591165566
1245,3968729143
1246,2081010389
1247,1014112781
1248,2655384025
1249,3263983643
1250,1584472022
1251,2281769037
1252,1986571479
1253,3094592897
1254,3210363244
1255,267754137
1256,157553165
1257,634534586
1258,1084208439
1259,571732850
1260,3063813126
1261,2951353346
1262,3844884078
1263,3626845078
1264,2197637869
1265,3219577194
1266,2285410030
1267,130876923
1268,460300268
1269,3724659985
1270,1921621497
1271,1521048357
1272,2287573730
1273,1705805682
1274,1041402894
1275,450409663
1276,1156390872
1277,3167131254
1278,1620423140
1279,782903323
1280,86205129
1281,2422211622
1282,1383319480
1283,3610821904
1284,908162278
1285,383129685
1286,1406590425
1287,2299248765
1288,514374443
1289,1001656856
1290,3824785552
1291,1472859660
1292,2549460179
1293,2035685400
1294,2916722243
1295,1525161353
1296,3389464642
1297,2786672872
1298,2140792940
1299,2059789457
1300,373319790
1301,2509117667
1302,2306855022
1303,3164628437
1304,2520463393
1305,2395484782
1306,3201638151
1307,2519150503
1308,1853963632
1309,2424330987
1310,547953234
1311,1626816041
1312,1218808232
1313,1449323108
1314,1559426565
1315,3863956147
1316,2774193433
1317,2609429823
1318,2451474145
1319,1049488826
1320,1529423799
1321,2139957562
1322,4237050732
1323,1418835909
1324,2601783012
1325,4010175864
1326,1018881312
1327,32359860
1328,437152405
1329,967797012
1330,656524997
1331,1569195589
1332,1056380406
1333,2095127151
1334,690121219
1335,3654233437
1336,801299274
1337,377474493
1338,1224474429
1339,3461163357
1340,744633950
1341,239029911
1342,3851578166
1343,3617711240
1344,344601334
1345,221772674
1346,2252759282
1347,78350878
1348,1762640935
1349,2993426660
1350,4219284003
1351,4283179927
1352,481203422
1353,3850911749
1354,1708776769
1355,2473894355
1356,4163843803
1357,3940184138
1358,3717324803
1359,22763342
1360,3509297797
1361,4187881589
1362,1107684208
1363,2107749981
1364,733956599
1365,3104815077
1366,2871800754
1367,3525573181
1368,3991639480
1369,3085750465
1370,2391278414
1371,2297965258
1372,2455057799
1373,2047065113
1374,1202501042
1375,3601684652
1376,3304946987
1377,880801412
1378,803346757
1379,4157502873
1380,1390191733
1381,3053517635
1382,1827235602
1383,856875731
1384,2180169952
1385,3162157587
1386,1041141872
1387,2275645579
1388,493220398
1389,3037530112
1390,2622593113
1391,3297587853
1392,1239658815
1393,374908453
1394,2496399140
1395,2173699965
1396,662982794
1397,4002971134
1398,2066480995
1399,1377147724
1400,2287454186
1401,2550708482
1402,222580384
1403,1585832837
1404,1445704369
1405,1951066103
1406,577306633
1407,2356232452
1408,272193430
1409,2357601929
1410,4251846827
1411,866425729
1412,1384499212
1413,2940212391
1414,3478384257
1415,377390675
1416,1093673280
1417,596247870
1418,2927031908
1419,11643208
1420,3265153808
1421,501205768
1422,2558248906
1423,2032233358
1424,2025404311
1425,2603187749
1426,1768843254
1427,3411447202
1428,1498377821
1429,458269790
1430,3992297264
1431,3653846596
1432,3567483197
1433,3203936187
1434,4144759019
1435,1754572721
1436,533852493
1437,4006938484
1438,3139051895
1439,4256009674
1440,4030141576
1441,880476065
1442,778390091
1443,1628774370
1444,285599266
1445,3979069952
1446,3183088935
1447,3099233599
1448,2467343253
1449,206564923
1450,3615627071
1451,3356579164
1452,600317767
1453,3555979018
1454,3415647080
1455,3223381220
1456,865982733
1457,3433985851
1458,702896925
1459,3543917858
1460,705516244
1461,800603300
1462,3498571780
1463,1012288338
1464,2857000314
1465,2721972301
1466,2246548889
1467,3899255357
1468,1541165187
1469,1358053976
1470,3767547628
1471,2526757929
1472,1685538904
1473,2933385617
1474,3507267879
1475,1941104455
1476,1886070054
1477,3065672295
1478,1618963981
1479,3864042271
1480,1987194546
1481,2680495740
1482,1294408101
1483,2318341984
1484,3210957846
1485,1884394046
1486,2159167630
1487,2480284640
1488,997345944
1489,1526270096
1490,3863643360
1491,1681402862
1492,1648800246
1493,2284310465
1494,2334541773
1495,286126900
1496,3893268071
1497,983656551
1498,2681081778
1499,2331520038
1500,502073266
1501,1853399237
1502,4036548229
1503,1429432898
1504,2695985542
1505,3137684658
1506,1438408647
1507,2979494441
1508,598169023
1509,716103155
1510,3410312206
1511,3773683310
1512,2663192220
1513,2127828256
1514,2291197939
1515,3184550365
1516,3839239398
1517,2461664154
1518,3386999203
1519,4285057180
1520,651438629
1521,3231546808
1522,1338836064
1523,3036457980
1524,1067252708
1525,3343941018
1526,3195225014
1527,614730016
1528,144020733
1529,878512323
1530,2447657557
1531,3066881857
1532,3274735113
1533,2121634308
1534,3765679738
1535,3241133897
1536,1469229920
1537,442020981
1538,3527273253
1539,2304169868
1540,475159710
1541,1627026222
1542,3635484899
1543,1962801004
1544,547559639
1545,2593979315
1546,1706335927
1547,2157312014
1548,3424357532
1549,2318683783
1550,643890436
1551,2088889500
1552,984627246
1553,1756449091
1554,3102051147
1555,3315207852
1556,3092533377
1557,52411802
1558,2753708126
1559,2570291826
1560,2980485874
1561,2428839843
1562,2330983715
1563,3075965721
1564,1081468714
1565,2572811546
1566,1484752964
1567,3551073939
1568,779956234
1569,4119194877
1570,3901765449
1571,1471130471
1572,2505648677
1573,976465029
1574,1721643719
1575,1819334678
1576,1984299822
1577,1236648281
1578,4068550957
1579,2641191274
1580,658639243
1581,3916376281
1582,2517837964
1583,597499495
1584,2172775357
1585,432909521
1586,2626175960
1587,1099578336
1588,77782638
1589,3118556775
1590,3745743675
1591,2546756266
1592,4003417547
1593,439000043
1594,2427228515
1595,3946003439
1596,2992092483
1597,3393387652
1598,3962104695
1599,98881316
1600,3037566791
1601,2797600894
1602,655150185
1603,3312479216
1604,2475139675
1605,1608187678
1606,2605821305
1607,296015752
1608,1821627381
1609,332091442
1610,3163003932
1611,447737293
1612,4013075751
1613,3609660712
1614,3975286485
1615,3911367434
1616,1936340374
1617,527468288
1618,486353709
1619,1013208676
1620,4229860756
1621,710905177
1622,3603039853
1623,800242083
1624,535422133
1625,3596995542
1626,3954985784
1627,1426557952
1628,3736176446
1629,1337642933
1630,2228392502
1631,976656754
1632,2539508647
1633,2610886542
1634,1713703572
1635,1629105582
1636,235199432
1637,3196527924
1638,1439661192
1639,882958537
1640,3448229299
1641,3383531832
1642,19894388
1643,2592964249
1644,1432368040
1645,490774306
1646,1710121534
1647,1780283635
1648,2308096536
1649,3708782169
1650,3950749770
1651,3964084005
1652,1487544705
1653,2000166790
1654,1490152657
1655,2065179098
1656,3167543713
1657,3944733018
1658,1942261264
1659,2521438847
1660,964670378
1661,141075386
1662,1943212907
1663,3920229114
1664,604976306
1665,1066124469
1666,757576343
1667,2480910360
1668,2140473286
1669,710874291
1670,1799271109
1671,145509876
1672,3929233239
1673,1337767072
1674,1556469936
1675,3352203548
1676,2493607998
1677,1192227818
1678,2715554453
1679,945310361
1680,56240283
1681,913457009
1682,2849871316
1683,2212654128
1684,764658630
1685,4189918032
1686,4127765587
1687,1971342696
1688,638501552
1689,2393608339
1690,1780797045
1691,3696386389
1692,366574043
1693,2298106942
1694,4281542332
1695,792261991
1696,2156911152
1697,1286754630
1698,2557159168
1699,1331168991
1700,288091276
1701,1706468317
1702,3221055702
1703,1833044402
1704,901537658
1705,3435037623
1706,3857113810
1707,1500605757
1708,881068063
1709,2011040413
1710,818997532
1711,2684251440
1712,156979628
1713,1622320604
1714,2027512093
1715,3593018511
1716,2425974183
1717,2523094034
1718,282216465
1719,1262912256
1720,3330865741
1721,3066860914
1722,1946860718
1723,2266229745
1724,2252239041
1725,2295470581
1726,1893061595
1727,2066257008
1728,1721264241
1729,2134650077
1730,2403636901
1731,3287180210
1732,666751806
1733,442302083
1734,781375360
1735,1436077319
1736,3701341084
1737,324284470
1738,4063534950
1739,3235167874
1740,1603351327
1741,1169527561
1742,1162839497
1743,3854434258
1744,2765956973
1745,2261637281
1746,1755499899
1747,3439194080
1748,109033558
1749,4204478518
1750,670670299
1751,3606865695
1752,3075077297
1753,3723709830
1754,2830056796
1755,1752280071
1756,116376384
1757,2369630520
1758,953363190
1759,1090443074
1760,992458711
1761,842299350
1762,2885757370
1763,2171139838
1764,84656124
1765,2555715911
1766,447142965
1767,1457158904
1768,3435613422
1769,2445741284
1770,766843458
1771,3811613746
1772,2803523168
1773,2391101019
1774,1022987246
1775,3095868679
1776,427097505
1777,3458801442
1778,1044416607
1779,4246557783
1780,3102112845
1781,2590713119
1782,3675188343
1783,3465394989
1784,3565767146
1785,4134547343
1786,1705890243
1787,4056208883
1788,2869403812
1789,605941941
1790,880400852
1791,1745441677
1792,1259059934
1793,1391526710
1794,3849733039
1795,373340113
1796,55842822
1797,2719748425
1798,367256326
1799,3160686240
1800,892864662
1801,3642682452
1802,113954962
1803,527322735
1804,779259260
1805,3764298642
1806,2504144419
1807,2761344284
1808,1810004667
1809,3023425617
1810,3833995777
1811,3911100288
1812,3510893358
1813,2683329220
1814,1468094355
1815,1442532874
1816,1114215145
1817,3543809022
1818,1630766465
1819,1559327426
1820,2535297494
1821,147008630
1822,1151324555
1823,3567633939
1824,2680699140
1825,1482588964
1826,1758409637
1827,3323593983
1828,2371024605
1829,1558033288
1830,1873149153
1831,3698258996
1832,1264720811
1833,942790498
1834,4073575923
1835,4185648633
1836,3279661909
1837,3349038443
1838,601781527
1839,490648144
1840,3730041545
1841,2429992093
1842,2093501047
1843,4232120378
1844,3842072557
1845,2023210710
1846,3435352191
1847,782144223
1848,1826278096
1849,2082107249
1850,96504946
1851,2200988880
1852,1153960461
1853,3185521160
1854,2326301223
1855,3001520065
1856,2720768236
1857,1728939288
1858,1107619174
1859,936402120
1860,598529781
1861,2770486549
1862,3585998058
1863,1811204589
1864,4227975171
1865,568122009
1866,2257822137
1867,3867928604
1868,737356908
1869,2968775265
1870,1169551062
1871,2934252324
1872,78987338
1873,3532970821
1874,3926883473
1875,2274879615
1876,505737044
1877,3500632105
1878,2476119395
1879,2139283496
1880,1177058213
1881,288516129
1882,2380176400
1883,1740527268
1884,2797829272
1885,2136595429
1886,3563713913
1887,3093246539
1888,886572630
1889,457752180
1890,47226729
1891,601375061
1892,587919316
1893,1132513306
1894,3865550648
1895,1144601886
1896,3753329285
1897,3144708826
1898,2565869735
1899,1076879969
1900,2579200267
1901,2719135468
1902,2856310776
1903,2122890036
1904,753213894
1905,2462280585
1906,3927369388
1907,3599642000
1908,1798605721
1909,1736805332
1910,1645567451
1911,3311039165
1912,2228734585
1913,1812631085
1914,201717311
1915,1519865985
1916,714181627
1917,4117272373
1918,3169830250
1919,791867072
1920,355617586
1921,387994292
1922,2590518563
1923,3311359346
1924,1053766425
1925,293130268
1926,1672011924
